X,Y,fid,NAME,NAME_EN,MAN_MADE,LEISURE,AMENITY,OFFICE,SHOP,TOURISM,SPORT,OSM_TYPE,OSM_ID,icon_url
-68.2729708,12.1446288,"13",,,surveillance,,,,,,,node,"278303396",
-68.2728545,12.1445123,"16",,,surveillance,,,,,,,node,"287960358",
-68.2872007,12.1674719,"17",Bari Reef,,,,,,,,scuba_diving,node,"313862678",
-68.2868883,12.1675911,"18",Dive Friends Bonaire @ SD,,,,,,scuba_diving,,,node,"313862857",
-68.3217112,12.2106695,"19",1000 Steps,,,,,,,,scuba_diving,node,"313863131",
-68.2759979,12.1512843,"59",,,,,parking,,,,,node,"493515087",
-68.2890155,12.1744041,"62",Hamlet Oasis Resort,,,,,,,hotel,,node,"529050421",./0.png
-68.2721008,12.1936531,"67",Seru Largu,,,,place_of_worship,,,,,node,"540032959",
-68.2721035,12.1935954,"68",Seru Largu,,,,,,,viewpoint,,node,"540032960",./1.png
-68.3760885,12.3049287,"69",Seru Bentana Lighthouse,,lighthouse,,,,,viewpoint,,node,"540032961",./1.png
-68.2373018,12.0283185,"70",Willemstoren Lighthouse,,lighthouse,,,,,,,node,"540034414",
-68.3707345,12.2323174,"71",Goto Lake viewpoint,,,,parking,,,viewpoint,,node,"540059570",./1.png
-68.28836,12.1708559,"78",Ingridients Restaurant,,,,restaurant,,,,,node,"634037501",
-68.2730674,12.1445183,"79",,,surveillance,,,,,,,node,"634954128",
-68.2729477,12.144421,"80",,,surveillance,,,,,,,node,"634954138",
-68.2810107,12.1589381,"81",Boy Scout,,,,,,,,scuba_diving,node,"635094192",
-68.2789411,12.1549049,"82",Mi Cas,,,,,,,,scuba_diving,node,"635094202",
-68.2886846,12.1710564,"83",Buddy's Reef,,,,,,,,scuba_diving,node,"635094204",
-68.2893863,12.171676,"84",La Machaca,,,,,,,,scuba_diving,node,"635094207",
-68.2822176,12.0597582,"85",English Garden,,,,,,,,scuba_diving,node,"635881767",
-68.2852927,12.0998035,"86",Alice in Wonderland,,,,,,,,scuba_diving,node,"635881804",
-68.2901176,12.1037524,"87",Hilma Hooker,,,,,,,,scuba_diving,node,"635881808",
-68.2846951,12.1308642,"88",Corporal Meiss,,,,,,,,scuba_diving,node,"635881836",
-68.2838525,12.1613822,"89",Something Special,,,,,,,,scuba_diving,node,"635942336",
-68.2973979,12.1915792,"90",,,,,parking,,,,,node,"636400639",
-68.2978203,12.1913607,"91",Andrea II,,,,,,,,scuba_diving,node,"636400643",
-68.3140546,12.2049583,"92",Jeff Davis Memorial,,,,,,,,scuba_diving,node,"636400684",
-68.3165738,12.2065395,"93",Weber's Joy,,,,,,,,scuba_diving,node,"636400689",
-68.3087706,12.2000579,"94",Oil Slick,,,,,,,,scuba_diving,node,"636400703",
-68.2860647,12.1068512,"95",,,mast,,,,,,,node,"637323043",
-68.2856174,12.1064236,"96",,,mast,,,,,,,node,"637323045",
-68.2842614,12.1077627,"97",,,mast,,,,,,,node,"637323047",
-68.2847059,12.108179,"98",,,mast,,,,,,,node,"637323049",
